timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675792477350,428,imdb,403,Forbidden,Thread Group 1-5,text,false,,1258,234,9,9,https://www.imdb.com/,27,0,13
1675792477549,229,imdb,403,Forbidden,Thread Group 1-7,text,false,,1258,234,9,9,https://www.imdb.com/,29,0,14
1675792477150,629,imdb,403,Forbidden,Thread Group 1-3,text,false,,1258,234,9,9,https://www.imdb.com/,27,0,14
1675792477350,27,imdb-0,301,Moved Permanently,Thread Group 1-5,text,true,,592,117,9,9,http://www.imdb.com/,27,0,13
1675792477549,29,imdb-0,301,Moved Permanently,Thread Group 1-7,text,true,,592,117,9,9,http://www.imdb.com/,29,0,14
1675792477150,27,imdb-0,301,Moved Permanently,Thread Group 1-3,text,true,,592,117,9,9,http://www.imdb.com/,27,0,14
1675792477377,401,imdb-1,403,Forbidden,Thread Group 1-5,text,false,,666,117,9,9,https://www.imdb.com/,400,0,269
1675792477177,602,imdb-1,403,Forbidden,Thread Group 1-3,text,false,,666,117,9,9,https://www.imdb.com/,601,0,469
1675792477578,200,imdb-1,403,Forbidden,Thread Group 1-7,text,false,,666,117,9,9,https://www.imdb.com/,199,0,68
1675792477249,529,imdb,403,Forbidden,Thread Group 1-4,text,false,,1258,234,9,9,https://www.imdb.com/,27,0,14
1675792477050,728,imdb,403,Forbidden,Thread Group 1-2,text,false,,1258,234,9,9,https://www.imdb.com/,56,0,36
1675792477450,328,imdb,403,Forbidden,Thread Group 1-6,text,false,,1258,234,9,9,https://www.imdb.com/,26,0,13
1675792477249,27,imdb-0,301,Moved Permanently,Thread Group 1-4,text,true,,592,117,9,9,http://www.imdb.com/,27,0,14
1675792477050,59,imdb-0,301,Moved Permanently,Thread Group 1-2,text,true,,592,117,9,9,http://www.imdb.com/,56,0,36
1675792477450,26,imdb-0,301,Moved Permanently,Thread Group 1-6,text,true,,592,117,9,9,http://www.imdb.com/,26,0,13
1675792477277,501,imdb-1,403,Forbidden,Thread Group 1-4,text,false,,666,117,9,9,https://www.imdb.com/,500,0,369
1675792477111,667,imdb-1,403,Forbidden,Thread Group 1-2,text,false,,666,117,9,9,https://www.imdb.com/,666,0,535
1675792477477,301,imdb-1,403,Forbidden,Thread Group 1-6,text,false,,666,117,9,9,https://www.imdb.com/,300,0,169
1675792477746,196,imdb,403,Forbidden,Thread Group 1-9,text,false,,1258,234,10,10,https://www.imdb.com/,27,0,13
1675792477746,27,imdb-0,301,Moved Permanently,Thread Group 1-9,text,true,,592,117,10,10,http://www.imdb.com/,27,0,13
1675792477774,168,imdb-1,403,Forbidden,Thread Group 1-9,text,false,,666,117,10,10,https://www.imdb.com/,168,0,38
1675792477847,197,imdb,403,Forbidden,Thread Group 1-10,text,false,,1258,234,11,11,https://www.imdb.com/,28,0,13
1675792477847,28,imdb-0,301,Moved Permanently,Thread Group 1-10,text,true,,592,117,11,11,http://www.imdb.com/,28,0,13
1675792477875,169,imdb-1,403,Forbidden,Thread Group 1-10,text,false,,666,117,11,11,https://www.imdb.com/,169,0,37
1675792477037,1066,imdb,403,Forbidden,Thread Group 1-1,text,false,,1258,234,12,12,https://www.imdb.com/,69,0,49
1675792477037,73,imdb-0,301,Moved Permanently,Thread Group 1-1,text,true,,592,117,12,12,http://www.imdb.com/,69,0,49
